,date,close,volume,instrument
0,2022-11-14,260.6,48396603.0,0700.HK
1,2022-11-14,10.38,129556375.0,1810.HK
2,2022-11-14,3.69,233835549.0,1398.HK
3,2022-11-15,288.0,63102526.0,0700.HK
4,2022-11-15,10.9,159443993.0,1810.HK
5,2022-11-15,3.77,187874570.0,1398.HK
6,2022-11-16,294.4,61785142.0,0700.HK
7,2022-11-16,3.73,182815204.0,1398.HK
8,2022-11-17,292.0,69820587.0,0700.HK
9,2022-11-16,10.56,124974253.0,1810.HK
10,2022-11-17,10.3,94151966.0,1810.HK
11,2022-11-17,3.72,169346286.0,1398.HK
12,2022-11-18,287.8,44759245.0,0700.HK
13,2022-11-18,10.3,106733764.0,1810.HK
14,2022-11-18,3.67,170907270.0,1398.HK
15,2022-11-21,283.2,31308860.0,0700.HK
16,2022-11-21,10.02,62784463.0,1810.HK
17,2022-11-21,3.67,132546725.0,1398.HK
18,2022-11-22,277.4,28461436.0,0700.HK
19,2022-11-22,9.87,65788306.0,1810.HK
20,2022-11-22,3.73,314616432.0,1398.HK
21,2022-11-23,282.0,23380469.0,0700.HK
22,2022-11-23,3.77,266706035.0,1398.HK
23,2022-11-24,280.4,17174522.0,0700.HK
24,2022-11-23,9.8,51032502.0,1810.HK
25,2022-11-24,9.45,152140052.0,1810.HK
26,2022-11-24,3.8,239947767.0,1398.HK
27,2022-11-25,273.0,31317632.0,0700.HK
28,2022-11-25,9.49,81638273.0,1810.HK
29,2022-11-25,3.85,315415430.0,1398.HK
30,2022-11-28,270.0,33498674.0,0700.HK
31,2022-11-28,9.34,99190598.0,1810.HK
32,2022-11-28,3.78,285329073.0,1398.HK
33,2022-11-29,285.8,33140777.0,0700.HK
34,2022-11-29,9.97,139822555.0,1810.HK
35,2022-11-29,3.88,457518421.0,1398.HK
36,2022-11-30,287.2,46633723.0,0700.HK
37,2022-11-30,10.32,129924182.0,1810.HK
38,2022-11-30,3.91,527274134.0,1398.HK
39,2022-12-01,294.4,45550089.0,0700.HK
40,2022-12-01,10.46,167597346.0,1810.HK
41,2022-12-01,3.91,274400919.0,1398.HK
42,2022-12-02,296.0,25087186.0,0700.HK
43,2022-12-02,10.12,138743563.0,1810.HK
44,2022-12-02,3.82,234537573.0,1398.HK
45,2022-12-05,314.0,59827141.0,0700.HK
46,2022-12-05,11.5,311486969.0,1810.HK
47,2022-12-05,3.85,379318895.0,1398.HK
48,2022-12-06,311.8,29059056.0,0700.HK
49,2022-12-06,3.86,139139112.0,1398.HK
50,2022-12-07,300.2,41107551.0,0700.HK
51,2022-12-06,11.28,100038626.0,1810.HK
52,2022-12-07,10.68,147439566.0,1810.HK
53,2022-12-07,3.8,372485343.0,1398.HK
54,2022-12-08,317.4,34092432.0,0700.HK
55,2022-12-08,11.04,106210501.0,1810.HK
56,2022-12-08,3.84,162099180.0,1398.HK
57,2022-12-09,325.6,40400176.0,0700.HK
58,2022-12-09,11.48,137851082.0,1810.HK
59,2022-12-09,3.89,234581088.0,1398.HK
60,2022-12-12,317.6,20509991.0,0700.HK
61,2022-12-12,11.18,83187315.0,1810.HK
62,2022-12-12,3.86,188878820.0,1398.HK
63,2022-12-13,318.4,20313254.0,0700.HK
64,2022-12-13,3.84,148034641.0,1398.HK
65,2022-12-13,11.2,60866444.0,1810.HK
66,2022-12-14,325.0,24238494.0,0700.HK
67,2022-12-14,3.84,168796301.0,1398.HK
68,2022-12-14,11.24,67103018.0,1810.HK
69,2022-12-15,317.6,18962052.0,0700.HK
70,2022-12-15,3.83,155867255.0,1398.HK
71,2022-12-15,10.98,53888239.0,1810.HK
72,2022-12-16,316.8,25128603.0,0700.HK
73,2022-12-16,3.84,223138746.0,1398.HK
74,2022-12-16,10.98,72815755.0,1810.HK
75,2022-12-19,320.4,24897178.0,0700.HK
76,2022-12-19,3.8,111495623.0,1398.HK
77,2022-12-20,309.4,29056421.0,0700.HK
78,2022-12-19,10.78,63254489.0,1810.HK
79,2022-12-20,3.79,143976437.0,1398.HK
80,2022-12-20,10.56,50435100.0,1810.HK
81,2022-12-21,311.0,15323874.0,0700.HK
82,2022-12-21,3.82,109124394.0,1398.HK
83,2022-12-21,10.56,36889916.0,1810.HK
84,2022-12-22,323.8,24251750.0,0700.HK
85,2022-12-22,3.88,137608412.0,1398.HK
86,2022-12-22,11.02,64839836.0,1810.HK
87,2022-12-23,320.2,15502697.0,0700.HK
88,2022-12-23,10.8,39314711.0,1810.HK
89,2022-12-23,3.85,83743692.0,1398.HK
90,2022-12-28,326.2,24188394.0,0700.HK
91,2022-12-28,11.22,84432613.0,1810.HK
92,2022-12-28,4.0,324909402.0,1398.HK
93,2022-12-29,335.2,30087456.0,0700.HK
94,2022-12-29,10.86,70917775.0,1810.HK
95,2022-12-29,4.01,166581551.0,1398.HK
96,2022-12-30,334.0,27211337.0,0700.HK
97,2022-12-30,10.94,41295012.0,1810.HK
98,2022-12-30,4.02,162913770.0,1398.HK
99,2022-11-10,231.4,23257794.0,0700.HK
100,2022-11-10,9.86,60432213.0,1810.HK
101,2022-11-10,3.56,91869883.0,1398.HK
102,2022-11-11,258.4,53013204.0,0700.HK
103,2022-11-11,10.3,146595991.0,1810.HK
104,2022-11-11,3.73,317307046.0,1398.HK
105,2023-01-03,345.2,29957513.0,0700.HK
106,2023-01-03,11.22,75716142.0,1810.HK
107,2023-01-03,4.06,194182186.0,1398.HK
108,2023-01-04,361.0,37429922.0,0700.HK
109,2023-01-04,11.5,84284859.0,1810.HK
110,2023-01-04,4.13,211264184.0,1398.HK
111,2023-01-05,347.8,40803927.0,0700.HK
112,2023-01-05,4.14,181427620.0,1398.HK
113,2023-01-06,349.4,27092487.0,0700.HK
114,2023-01-05,11.62,80383189.0,1810.HK
115,2023-01-06,11.24,73556425.0,1810.HK
116,2023-01-06,4.13,247399417.0,1398.HK
117,2023-01-09,362.0,28323733.0,0700.HK
118,2023-01-09,12.1,153533290.0,1810.HK
119,2023-01-09,4.13,214979619.0,1398.HK
120,2023-01-10,362.4,19854116.0,0700.HK
121,2023-01-10,11.98,59017961.0,1810.HK
122,2023-01-10,4.14,403040540.0,1398.HK
123,2023-01-11,373.8,35722217.0,0700.HK
124,2023-01-11,4.14,303390077.0,1398.HK
125,2023-01-12,364.0,40547528.0,0700.HK
126,2023-01-11,11.74,87323242.0,1810.HK
127,2023-01-12,11.78,55226443.0,1810.HK
128,2023-01-12,4.18,245789865.0,1398.HK
129,2023-01-13,371.4,20970696.0,0700.HK
130,2023-01-13,11.96,47427580.0,1810.HK
131,2023-01-13,4.2,199160580.0,1398.HK
132,2023-01-16,370.2,19986153.0,0700.HK
133,2023-01-16,11.88,77872795.0,1810.HK
134,2023-01-16,4.25,241899182.0,1398.HK
135,2023-01-17,373.8,16103837.0,0700.HK
136,2023-01-17,11.72,46066888.0,1810.HK
137,2023-01-17,4.22,262359961.0,1398.HK
138,2023-01-18,380.0,27122730.0,0700.HK
139,2023-01-18,11.9,61959126.0,1810.HK
140,2023-01-18,4.26,222780307.0,1398.HK
141,2023-01-19,382.8,17351698.0,0700.HK
142,2023-01-19,11.58,40628591.0,1810.HK
143,2023-01-19,4.18,260203406.0,1398.HK
144,2023-01-20,391.8,16863710.0,0700.HK
145,2023-01-20,11.86,35943876.0,1810.HK
146,2023-01-20,4.22,194452260.0,1398.HK
147,2023-01-26,406.8,23729091.0,0700.HK
148,2023-01-26,13.34,154903684.0,1810.HK
149,2023-01-26,4.26,127661742.0,1398.HK
150,2023-01-27,415.0,18625209.0,0700.HK
151,2023-01-30,387.2,53626689.0,0700.HK
152,2023-01-27,13.46,109472891.0,1810.HK
153,2023-01-27,4.3,149200374.0,1398.HK
154,2023-01-30,12.7,161324229.0,1810.HK
155,2023-01-30,4.2,296591107.0,1398.HK
156,2023-01-31,382.2,55756238.0,0700.HK
157,2023-01-31,12.92,117950802.0,1810.HK
158,2023-01-31,4.19,368763206.0,1398.HK
159,2023-02-01,385.0,31418879.0,0700.HK
160,2023-02-01,13.5,131222555.0,1810.HK
